,tc
0,2.64
1,2.15
2,2.62
3,1.2
4,3.2
5,2.52
6,0.64
7,1.95
8,0.0
9,1.21
10,1.2
11,0.0
12,0.106
13,0.1
14,0.126
15,0.088
16,6.72
17,0.11
18,0.0
19,0.0125
20,0.0074
21,6.415
22,6.175
23,6.5
24,5.57
25,5.245
26,6.79
27,6.7
28,0.0
29,0.0
30,0.0
31,2.35
32,1.073333333
33,0.0
34,0.0
35,7.7
36,5.79
37,4.655
38,0.0
39,2.6
40,2.225
41,0.0
42,0.0
43,0.0
44,0.066
45,0.0
46,0.0
47,0.0
48,0.0
49,0.34
50,0.0
51,0.0
52,0.0
53,0.85
54,0.0
55,0.0
56,0.0502
57,0.0
58,0.0
59,1.03625
60,2.86
61,37.95
62,34.7
63,36.7
64,17.9
65,16.12
66,37.3
67,34.0
68,18.0
69,7.75
70,2.12
71,36.46666667
72,18.1
73,37.0
74,18.0
75,35.8
76,32.4
77,33.55
78,17.9
79,34.7
80,17.8
81,35.1
82,31.5
83,17.1
84,7.4
85,25.3
86,0.0
87,4.65
88,30.8
89,14.6
90,7.49
91,34.3
92,3.34
93,13.9
94,18.1
95,17.97
96,27.1
97,4.3
98,11.2
99,0.0
100,16.9
101,3.82
102,1.63
103,24.0
104,28.71
105,5.7
106,3.24
107,4.43
108,16.85
109,0.0
110,3.23
111,18.1
112,18.1
113,7.3
114,14.1
115,0.0
116,0.0
117,13.9
118,0.0
119,9.1
120,9.42
121,15.775
122,0.0
123,15.4
124,11.7
125,12.9
126,18.75
127,12.9
128,0.21
129,16.0
130,0.85
131,17.2
132,20.4
133,18.7
134,11.1
135,8.925
136,19.7
137,1.2775
138,13.6
139,20.7
140,6.2
141,20.0
142,20.425
143,20.75
144,14.0
145,18.9
146,17.6
147,19.6
148,0.0
149,17.8
150,17.0
151,5.6
152,4.05
153,18.395
154,20.375
155,18.1
156,14.6
157,17.7
158,19.1
159,19.8
160,17.6
161,19.2
162,18.4
163,20.0
164,18.4
165,20.0
166,17.8
167,18.0
168,18.5
169,19.1
170,2.8
171,19.700000000000003
172,19.2
173,20.0
174,18.4
175,19.0
176,18.1
177,19.8
178,18.5
179,19.6
180,18.8
181,18.6
182,19.3
183,18.4
184,19.0
185,0.262
186,19.8
187,19.8
188,6.54
189,5.57
190,18.3
191,18.06
192,17.6
193,16.1
194,18.1
195,1.254033333
196,6.63
197,5.21
198,0.0
199,0.0
200,2.9
201,0.0
202,0.0
203,0.0
204,5.4
205,0.0
206,4.4
207,0.55
208,0.0
209,0.08
210,6.3
211,0.0
212,2.9
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,6.183529412
220,0.0
221,14.1
222,3.45
223,0.0
224,0.0
225,0.0
226,5.5
227,0.0
228,6.7
229,4.5
230,18.0
231,16.5
232,14.4
233,3.2
234,0.37
235,3.6216666665
236,0.0
237,2.4
238,4.9833333335
239,0.0
240,0.0
241,6.0
242,5.2
243,14.45
244,13.8
245,11.85
246,4.9
247,4.2
248,0.58
249,1.55
250,7.2
251,2.1
252,1.075
253,15.6
254,15.4
255,11.5
256,13.0
257,15.4
258,17.2
259,13.6
260,16.8
261,15.2
262,15.0
263,16.0
264,16.0
265,14.6
266,14.8
267,17.7
268,17.2
269,16.6
270,17.7
271,18.0
272,17.4
273,17.6
274,0.0
275,0.0
276,0.0
277,0.0
278,0.69
279,0.39
280,0.0
281,0.0
282,3.3
283,0.0
284,0.0
285,0.0
286,2.8
287,0.0
288,4.75
289,0.045
290,0.0
291,0.0
292,0.0
293,0.65
294,0.52
295,1.15
296,1.51
297,1.64
298,0.0
299,1.155
300,1.49
301,0.0
302,0.19
303,0.029666667
304,0.195
305,0.0475
306,9.61
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.735
313,1.02
314,2.78
315,2.42
316,1.89
317,1.38
318,0.932
319,0.94
320,1.425
321,1.61
322,1.996
323,2.4
324,2.7242142855
325,0.0
326,0.0
327,0.84
328,0.0
329,0.65
330,4.95
331,0.0
332,0.0
333,0.343333333
334,0.0
335,1.34
336,0.0
337,2.6
338,0.0
339,0.0
340,0.0
341,0.0
342,0.16
343,6.2
344,1.16
345,0.0
346,1.2
347,0.0
348,1.2
349,0.85
350,0.0
351,0.0
352,1.13
353,1.145
354,1.021
355,0.0
356,1.2
357,1.97
358,1.28
359,0.0
360,0.0
361,1.94
362,1.11
363,1.864
364,0.0
365,0.0
366,0.75
367,0.0
368,0.75
369,0.0
370,0.0
371,0.94
372,0.86
373,0.68
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,3.35
382,0.0
383,1.85
384,18.19
385,11.67
386,17.98
387,5.96
388,7.52
389,0.78
390,0.0
391,0.48
392,11.42
393,0.0
394,0.44
395,4.0
396,3.13
397,0.0
398,1.825
399,27.35
400,27.0
401,28.475
402,0.0
403,3.24
404,23.0
405,3.27
406,3.28
407,0.0
408,0.0
409,0.763
410,0.634
411,0.0
412,3.2
413,2.3825
414,2.0
415,20.8
416,22.93333333
417,3.49
418,16.5
419,0.0
420,0.0
421,8.72
422,18.4
423,3.92
424,22.2
425,0.0
426,3.81
427,0.0
428,15.4
429,5.0
430,10.0
431,0.0
432,0.0
433,11.8
434,0.0
435,27.6
436,47.0
437,43.5
438,40.85
439,36.33333333
440,40.4
441,46.0
442,40.2
443,42.6
444,0.0
445,9.81
446,19.3
447,19.4
448,15.7
449,13.4
450,21.05
451,0.0
452,0.0
453,20.1
454,18.8
455,21.13333333
456,10.29
457,16.3
458,6.14
459,2.565
460,13.4
461,7.66
462,10.6
463,15.03333333
464,13.3
465,14.0
466,7.53
467,0.0
468,14.3
469,7.485
470,10.875
471,5.8
472,0.0
473,14.9
474,15.96666667
475,0.0
476,0.0
477,2.0
478,1.895
479,4.0
480,0.0
481,0.0
482,0.0
483,0.0
484,1.838
485,9.3
486,0.0
487,0.0
488,0.0
489,0.0
490,47.5
491,36.4
492,3.64
493,33.0
494,33.0
495,14.6
496,14.0
497,35.0
498,42.0
499,49.05
500,45.0
501,50.0
502,3.59
503,24.7
504,26.9
505,46.4
506,40.2
507,44.48888889
508,46.0
509,53.0
510,22.0
511,49.66666667
512,45.0
513,31.4
514,34.8
515,50.525
516,43.5
517,50.5
518,3.9
519,50.0
520,48.35
521,32.6
522,46.0
523,24.4
524,0.0
525,0.0
526,0.0
527,11.6
528,17.3
529,16.0
530,14.7
531,16.5
532,18.3
533,17.6
534,10.0
535,6.0
536,0.0
537,18.0
538,9.0
539,0.0
540,7.1
541,0.0
542,7.5
543,15.4
