,RF_importance_axis1,RF_importance_axis2
Ag,0.0005,0.0001
Al,0.0002,0.0003
As,0.0005,0.0428
Au,0.0,0.0
B,0.0009,0.0004
Ba,0.0001,0.0011
Be,0.0,0.0576
Bi,0.0012,0.0001
Br,0.0003,0.0
C,0.0003,0.0004
Ca,0.0001,0.0002
Cd,0.0,0.0
Ce,0.0002,0.0006
Cl,0.0001,0.0002
Co,0.0001,0.0002
Cr,0.0001,0.0001
Cs,0.0001,0.0
Cu,0.0014,0.0465
Dy,0.0001,0.0
Er,0.0003,0.0
Eu,0.0024,0.0005
F,0.0,0.0001
Fe,0.0002,0.009
Ga,0.0001,0.0001
Gd,0.0007,0.0014
Ge,0.0001,0.0004
H,0.0,0.0
Hf,0.0,0.0
Hg,0.0001,0.0
Ho,0.0005,0.0
I,0.0,0.0
In,0.0119,0.0004
Ir,0.0003,0.0002
K,0.0002,0.0004
La,0.0002,0.0003
Li,0.0001,0.0133
Lu,0.0002,0.0
Mg,0.0001,0.0009
Mn,0.0,0.0
Mo,0.0005,0.001
N,0.0001,0.0001
Na,0.0,0.001
Nb,0.0029,0.0076
Nd,0.003,0.0056
Ni,0.0008,0.0035
Np,0.0,0.0
O,0.2779,0.0014
Os,0.0,0.0
P,0.0001,0.0004
Pa,0.0,0.0
Pb,0.0001,0.0001
Pd,0.0001,0.0001
Pr,0.0014,0.0004
Pt,0.0003,0.0019
Pu,0.0,0.0
Rb,0.0001,0.0
Re,0.0,0.0001
Rh,0.0005,0.0001
Ru,0.0001,0.0002
S,0.0002,0.0061
Sb,0.0,0.0032
Sc,0.0,0.0001
Se,0.0018,0.0004
Si,0.0002,0.0005
Sm,0.0004,0.042
Sn,0.0001,0.0001
Sr,0.0078,0.0004
Ta,0.0001,0.0001
Tb,0.0,0.0
Tc,0.0,0.0001
Te,0.0003,0.0001
Th,0.0,0.0001
Ti,0.0,0.0001
Tl,0.0003,0.0289
Tm,0.0,0.0
U,0.0,0.0
V,0.0005,0.0607
W,0.0,0.0001
Y,0.0,0.0003
Yb,0.0001,0.0
Zn,0.0,0.0
Zr,0.0,0.002
band_gap_2,0.0004,0.0004
base-centered,0.0001,0.0105
body-centered,0.0002,0.0103
cell_volume_2,0.0025,0.0035
cubic,0.0005,0.0006
density_2,0.0035,0.0047
e_above_hull_2,0.0006,0.0022
efermi_2,0.0038,0.0043
energy_per_atom_2,0.0037,0.0058
exchange_symmetry_2,0.0073,0.013
face-centered,0.0002,0.0003
final_energy_2,0.0049,0.0054
formation_energy_per_atom_2,0.0357,0.0045
hexagonal,0.0002,0.0051
lata_2,0.0024,0.0057
latb_2,0.0019,0.0048
latc_2,0.0082,0.0041
max_Z,0.0006,0.0042
max_disorder,0.0009,0.0014
max_electronegativity,0.3384,0.1314
max_group,0.0029,0.0031
max_mass,0.0008,0.0082
max_occupancy,0.0,0.0
max_period,0.0007,0.001
max_radius,0.007,0.2031
mean_Z,0.0027,0.0092
mean_disorder,0.0003,0.0016
mean_electronegativity,0.0038,0.0031
mean_group,0.0041,0.0135
mean_mass,0.0013,0.0627
mean_occupancy,0.0007,0.0023
mean_period,0.0152,0.0035
mean_radius,0.0078,0.0031
min_Z,0.0037,0.0016
min_disorder,0.0,0.0
min_electronegativity,0.022,0.0437
min_group,0.0051,0.0026
min_mass,0.0069,0.0016
min_occupancy,0.0006,0.0011
min_period,0.0012,0.0015
min_radius,0.016,0.0112
monoclinic,0.0001,0.0001
nsites_2,0.001,0.0017
num_elements_sc,0.0013,0.0022
num_magnetic_sites_2,0.0003,0.0008
orthorhombic,0.0002,0.0044
primitive,0.0003,0.0015
std_Z,0.0011,0.0036
std_disorder,0.0007,0.0016
std_electronegativity,0.0034,0.0035
std_group,0.0033,0.0067
std_mass,0.0009,0.004
std_occupancy,0.0005,0.0019
std_period,0.0112,0.005
std_radius,0.1246,0.0051
tetragonal,0.0001,0.0067
total_magnetization_2,0.0054,0.0039
triclinic,0.0022,0.0
trigonal,0.0006,0.0007
