,0
0,Sr5As3H
1,CsHSO4
2,Na2B3HO6
3,CoBP2HPbO9
4,FeHO2
5,YHSO5
6,KMn2P2HO9
7,HRu6C16NO16
8,GdHO2
9,K2ZrHF7
10,NbH
11,Ca16HN8
12,PrHSe
13,NaBeSi3HO8
14,FePHC4(OF)3
15,Li5CuHO4
16,FeHO2
17,SmP4HO12
18,Al2HPb(CO5)2
19,Na2ZnPHO5
20,NaFe2P2HO8
21,Mn2HO4
22,AlHO2
23,SrGaGeH
24,HCNO
25,Sm5Sb3H
26,RbHO
27,HS3N
28,RbHoHS2O9
29,Mg2PHO5
30,Cs2B12HF12
31,Be2BHO4
32,Na2PHO4
33,CdHOF
34,KScBP2HO9
35,CdHC2(NO)4
36,Al4Si2H(O3F)3
37,ZnHCO4
38,KH(IO3)2
39,K2HS2NO6
40,KZnHCl3
41,Ca2Ni10H
42,HIN2
43,Li2MnP2HO8
44,Ni3H
45,Sr5V3HO13
46,MgMn3HO6
47,HPd
48,NbHO3
49,MoH
50,BaHI
51,H(C3N2)4
52,MgPHO9
53,Co3H
54,Li2HIO
55,CsHF2
56,HC
57,MnHC3O4
58,HPb3Cl4OF
59,MnPHO3
60,BaHClO
61,CsMgMnP3HO10
62,FeHO2
63,CuPHO4
64,NaSnPHO4F
65,Cu2AgH(SO5)2
66,HNO3
67,CaHClO
68,LiVP3HO10
69,GaHO2
70,Fe3B11HO20
71,LiNiPHO5
72,As4HN2(ClO3)2
73,MgFeHO2
74,CrHSe3O8
75,LiVP2HO8
76,RbHS2O7
77,Cu2PHO5
78,Zn2AsHO5
79,CuHO2
80,FeHO2
81,MnP2HO8
82,V2H
83,TbHO2
84,NaBeHCO5
85,Mg16Al12H
86,GaHSeO4
87,Nb3SnH
88,LiCrPHO5
89,KCaPHO4
90,CuHIO4
91,HSO3F
92,MgAl2SiHO7
93,VHO2
94,LiFe2P2HO8
95,RbHSO4
96,Ga4HCl6
97,ErHSe
98,Na5FeHO4
99,Ca2Al2FeSi4BHO16
100,K3ZrHS(OF)5
101,RbPrP3HO10
102,MoH(ClO)2
103,CeCoGeH
104,PHN2
105,GaHO2
106,HPd3
107,FePHO5
108,BaH(BrO3)2
109,ReH(CO)4
110,RbHCO2
111,GaHO2
112,FeHO2
113,KCr2FeHO8
114,Mg16Si8HO32
115,HgHNO4
116,Li2FeP2HO8
117,Cs3H(SeO4)2
118,NaHF2
119,Co3B11HO20
120,Cr3H
121,SrGaSiH
122,CoPHNO4
123,LiVP2HO8
124,Mg2PHO5
125,Zr24P8H
126,FeHO2
127,HC2N3
128,MnPHO5
129,Li5CoHO4
130,CaNiAsHO5
131,Ba2V2FeHO9
132,HCNO
133,CoHCO4
134,CaNiGeH
135,EuCrHO5
136,Ca4Ni20H
137,HgHC3NCl3
138,HC2N3
