,RF_importance_axis1,RF_importance_axis2
Ag,0.0003,0.0003
Al,0.0002,0.0005
As,0.0005,0.0035
Au,0.0,0.0002
B,0.0,0.008
Ba,0.0,0.0099
Be,0.0,0.0509
Bi,0.0014,0.0025
Br,0.0,0.0001
C,0.0001,0.0005
Ca,0.0001,0.0054
Cd,0.0,0.0
Ce,0.0,0.0001
Cl,0.0,0.0015
Co,0.0001,0.0005
Cr,0.0009,0.0002
Cs,0.0002,0.0
Cu,0.0079,0.0008
Dy,0.0001,0.0
Er,0.0001,0.0
Eu,0.0136,0.0089
F,0.0,0.0002
Fe,0.0001,0.0173
Ga,0.0,0.0003
Gd,0.0001,0.014
Ge,0.0001,0.0005
H,0.0,0.0
Hf,0.0001,0.0001
Hg,0.0001,0.0001
Ho,0.0003,0.0
I,0.0,0.0
In,0.0157,0.0017
Ir,0.0,0.0021
K,0.0001,0.0014
La,0.0003,0.0003
Li,0.0001,0.0009
Lu,0.0001,0.0004
Mg,0.0003,0.0013
Mn,0.0,0.0001
Mo,0.0003,0.0044
N,0.0002,0.0001
Na,0.0,0.0003
Nb,0.007,0.0002
Nd,0.0014,0.0061
Ni,0.0012,0.0006
Np,0.0,0.0
O,0.0076,0.0011
Os,0.0001,0.0
P,0.0001,0.0003
Pa,0.0,0.0
Pb,0.0,0.0
Pd,0.0,0.0008
Pr,0.001,0.0004
Pt,0.0002,0.0033
Pu,0.0,0.0
Rb,0.0002,0.0
Re,0.0001,0.0001
Rh,0.0005,0.0002
Ru,0.0002,0.0003
S,0.0002,0.0034
Sb,0.0,0.0037
Sc,0.0,0.0001
Se,0.0001,0.0013
Si,0.0,0.0003
Sm,0.0006,0.0536
Sn,0.0,0.0002
Sr,0.0003,0.0005
Ta,0.0001,0.0001
Tb,0.0,0.0
Tc,0.0,0.0
Te,0.0,0.0038
Th,0.0,0.0001
Ti,0.0,0.0001
Tl,0.0,0.0115
Tm,0.0,0.0
U,0.0002,0.0002
V,0.0224,0.0191
W,0.0001,0.0
Y,0.0,0.0011
Yb,0.0,0.0
Zn,0.0,0.0
Zr,0.0001,0.0004
band_gap_2,0.0005,0.0004
base-centered,0.0007,0.0028
body-centered,0.0002,0.0006
cell_volume_2,0.0014,0.0059
cubic,0.0028,0.0008
density_2,0.0016,0.0101
e_above_hull_2,0.0007,0.0039
efermi_2,0.0028,0.008
energy_per_atom_2,0.0123,0.0161
exchange_symmetry_2,0.0053,0.0077
face-centered,0.0005,0.0006
final_energy_2,0.003,0.0057
formation_energy_per_atom_2,0.0018,0.0097
hexagonal,0.0001,0.0003
lata_2,0.0029,0.0168
latb_2,0.0018,0.0037
latc_2,0.0064,0.0031
max_Z,0.0005,0.2579
max_disorder,0.0013,0.0026
max_electronegativity,0.6235,0.0019
max_group,0.0013,0.0179
max_mass,0.0008,0.0028
max_occupancy,0.0,0.0
max_period,0.0001,0.0047
max_radius,0.0031,0.0265
mean_Z,0.001,0.0052
mean_disorder,0.0004,0.007
mean_electronegativity,0.0035,0.0193
mean_group,0.0037,0.0411
mean_mass,0.0008,0.0064
mean_occupancy,0.0007,0.0019
mean_period,0.0059,0.0037
mean_radius,0.0058,0.0079
min_Z,0.004,0.0044
min_disorder,0.0,0.0
min_electronegativity,0.039,0.0147
min_group,0.0032,0.077
min_mass,0.0041,0.0044
min_occupancy,0.0004,0.0011
min_period,0.0071,0.0019
min_radius,0.1082,0.0037
monoclinic,0.0001,0.0002
nsites_2,0.0008,0.0054
num_elements_sc,0.0006,0.0052
num_magnetic_sites_2,0.0004,0.0244
orthorhombic,0.0009,0.0004
primitive,0.0002,0.0018
std_Z,0.0006,0.0019
std_disorder,0.001,0.0022
std_electronegativity,0.0011,0.0129
std_group,0.003,0.0048
std_mass,0.0005,0.002
std_occupancy,0.0004,0.0014
std_period,0.0018,0.0555
std_radius,0.0319,0.0096
tetragonal,0.0004,0.0008
total_magnetization_2,0.0027,0.0058
triclinic,0.002,0.0002
trigonal,0.0004,0.0033
